x1,x2,x3,rate
10.59,12.6,7.56,10.25 
11.97,13.03,7.46,10.82 
11.88,12.52,7.33,10.58 
11.31,12.37,7.22,10.30 
10.25,12,7.28,9.84 
11.26,12.71,7.1,10.36 
11.24,13.25,6.96,10.48 
11.72,13.58,7.14,10.81 
11.53,12.97,6.74,10.41 
11.61,12.84,6.89,10.45 
11.07,12.49,6.86,10.14 
10.1,12.1,6.75,9.65 
10.72,11.81,6.88,9.80 
11.19,12.24,7.05,10.16 
10.27,12.57,7.14,9.99 
9.53,12.15,6.89,9.52 
9.29,12.19,7.02,9.50 
9.68,12.84,6.93,9.82 
10.05,13.51,7.27,10.28 
9.31,14.41,7.38,10.37 
9.84,14.21,7.21,10.42 
9.61,14.26,7.2,10.36 
9.73,14.06,7.08,10.29 
8.28,13.58,6.92,9.59 
8.53,13.22,6.9,9.55 
9.45,13.58,7.11,10.05 
8.62,13.35,7.18,9.72 
9.59,13.04,6.87,9.83 
9.91,12.74,6.95,9.87 
9.58,13.34,7.13,10.02 
9.66,14.05,7.3,10.34 
10,14.77,7.28,10.68 
10.07,14.57,7.16,10.60 
10.35,14.46,7.25,10.69 
10.4,14.08,7.21,10.56 
9.63,13.66,7.03,10.11 
9.67,13.18,6.84,9.90 
9.87,13.38,7.08,10.11 
8.41,13.23,7.01,9.55 
8.69,12.84,6.91,9.48 
8.21,12.35,6.85,9.14 
8.55,12.88,6.85,9.43 
8.56,13.54,7.01,9.70 
8.65,14.02,6.93,9.87 
8.15,13.69,6.74,9.53 
9.24,13.62,6.68,9.85 
9.23,13.36,6.61,9.73 
8.12,12.82,6.52,9.15 
8.39,12.52,6.23,9.05 
8.26,12.32,6.32,8.97 
7.67,12.19,6.55,8.80 
7.77,12.06,6.27,8.70 
7.77,11.71,6.43,8.64 
8.43,12.27,6.58,9.09 
8.49,12.91,6.65,9.35 
8.69,13.64,6.71,9.68 
8.95,13.28,6.79,9.67 
9.69,12.88,6.78,9.78 
9.6,12.73,6.63,9.65 
9.71,12.49,6.7,9.63 
9.13,12.4,6.69,9.41 
8.29,12.46,6.83,9.19 
8.5,12.37,6.8,9.22 
8.66,12.27,6.83,9.25 
8.35,11.9,6.62,8.96 
8.65,12.36,6.55,9.19 
8.71,13.05,6.85,9.54 
9.05,13.43,6.98,9.82 
9.15,13.03,6.86,9.68 
9.63,12.88,6.79,9.77 
9.55,12.73,6.67,9.65 
9.6,12.49,6.63,9.57 
9.76,12.35,6.58,9.56 
9.65,12.57,6.71,9.64 
9.59,12.37,6.64,9.53 
8.96,12.01,6.61,9.19 
8.61,11.91,6.53,9.02 
8.75,12.38,6.54,9.22 
8.82,12.96,6.63,9.47 
8.72,13.18,6.71,9.54 
8.41,12.7,6.57,9.23 
8.03,12.33,6.55,8.97 
8,12,6.5,8.83 
7.98,11.78,6.43,8.73 
7.88,11.65,6.35,8.63 
8.1,11.89,6.46,8.82 
8.06,11.75,6.4,8.74 
8.49,11.6,6.33,8.81 
8.26,11.54,6.28,8.69 
8.57,11.89,6.35,8.94 
8.66,12.42,6.39,9.16 
8.8,12.78,6.44,9.34 
8.65,12.29,6.44,9.13 
8.93,12.15,6.38,9.15 
8.64,11.98,6.31,8.98 
8.41,11.8,6.33,8.85 
8.55,11.73,6.29,8.86 
8.69,11.94,6.44,9.02 
8.76,11.78,6.37,8.97 
8.19,11.7,6.46,8.78 
8.18,11.71,6.52,8.80 
9.66,12.2,6.58,9.48 
9.21,12.7,6.66,9.52 
10.51,13.05,6.71,10.09 
10.47,12.86,6.87,10.07 
9.81,12.86,6.7,9.79 
9.46,12.55,6.64,9.55 
8.93,12.11,6.59,9.21 
8.86,11.98,6.51,9.12 
8.36,11.87,6.53,8.92 
7.71,11.62,6.61,8.65 
7.77,11.6,6.68,8.68 
7.72,11.66,6.6,8.66 
7.71,12.01,6.58,8.77 
7.76,12.36,6.47,8.86 
8.09,12.56,6.54,9.06 
8.15,12.38,6.36,8.96 
8.77,12.39,6.42,9.19 
8.65,12.15,6.37,9.06 
8.6,12.14,6.3,9.01 
8.4,11.96,6.22,8.86 
8.46,11.9,6.24,8.87 
8.48,11.85,6.27,8.87 
8.54,11.69,6.33,8.85 
8.58,12.58,6.9,9.35 
9.5,13.41,7.58,10.16 
9.26,13.87,7.12,10.08 
8.83,13.38,6.81,9.67 
8.83,12.8,6.62,9.42 
8.78,12.42,6.47,9.22 
8.62,12.19,6.23,9.01 
8.48,12.17,6.29,8.98 
8.67,12.1,6.27,9.01 
8.35,12.47,6.1,8.97 
8.47,12.48,6.19,9.05 
8.11,12.26,6.1,8.82 
8.14,12.16,6.07,8.79 
9.29,12.41,6.15,9.28 
9.16,12.68,6.24,9.36 
8.9,13.06,6.18,9.38 
8.95,12.7,6.01,9.22 
9.06,12.27,6.14,9.16 
8.68,12.07,6.04,8.93 
8.82,11.63,6.1,8.85 
9.04,11.39,6.25,8.89 
8.35,11.8,6.08,8.74 
8.14,11.8,6.24,8.73 
8.26,11.75,6.07,8.69 
8.24,11.52,6.05,8.60 
8.42,12.03,5.97,8.81 
8.54,12.44,5.82,8.93 
8.46,12.47,5.9,8.94 
8.5,11.79,5.93,8.74 
8.45,11.56,6.02,8.68 
8.03,11.27,5.73,8.34 
8.22,11.33,5.74,8.43 
,,,
